Entity,Code,Day,COVID-19 positivity rate
Afghanistan,AFG,2022-06-21,17.067793
Afghanistan,AFG,2022-06-22,17.630777
Afghanistan,AFG,2022-06-23,18.372038
Afghanistan,AFG,2022-06-24,18.516693
Afghanistan,AFG,2022-06-25,18.679804
Afghanistan,AFG,2022-06-26,18.908047
Afghanistan,AFG,2022-06-27,19.233717
Afghanistan,AFG,2022-06-28,19.474548
Afghanistan,AFG,2022-06-29,20.164204
Albania,ALB,2020-03-03,0
Albania,ALB,2020-03-04,0
Albania,ALB,2020-03-05,0
Albania,ALB,2020-03-06,0
Albania,ALB,2020-03-07,0
Albania,ALB,2020-03-08,0
Albania,ALB,2020-03-09,0
Albania,ALB,2020-03-10,0
Albania,ALB,2020-03-11,0.25510204
Albania,ALB,2020-03-12,0.83819246
Albania,ALB,2020-03-13,1.3659898
Albania,ALB,2020-03-14,2.0994081
Albania,ALB,2020-03-15,3.0898044
Albania,ALB,2020-03-16,4.2137322
Albania,ALB,2020-03-17,5.438222
Albania,ALB,2020-03-18,6.552983
Albania,ALB,2020-03-19,7.5810633
Albania,ALB,2020-03-20,9.355725
Albania,ALB,2020-03-21,10.76778
Albania,ALB,2020-03-22,11.665139
Albania,ALB,2020-03-23,12.4327
Albania,ALB,2020-03-24,14.065352
Albania,ALB,2020-03-25,15.618821
Albania,ALB,2020-03-26,16.960321
Albania,ALB,2020-03-27,17.828415
Albania,ALB,2020-03-28,19.363102
Albania,ALB,2020-03-29,20.76333
Albania,ALB,2020-03-30,21.958576
Albania,ALB,2020-03-31,21.550413
Albania,ALB,2020-04-01,20.795448
Albania,ALB,2020-04-02,20.049067
Albania,ALB,2020-04-03,18.93755
Albania,ALB,2020-04-04,16.849844
Albania,ALB,2020-04-05,15.319646
Albania,ALB,2020-04-06,14.09567
Albania,ALB,2020-04-07,13.608507
Albania,ALB,2020-04-08,13.32209
Albania,ALB,2020-04-09,12.651901
Albania,ALB,2020-04-10,12.083822
Albania,ALB,2020-04-11,11.838305
Albania,ALB,2020-04-12,11.1586895
Albania,ALB,2020-04-13,10.249583
Albania,ALB,2020-04-14,9.0691595
Albania,ALB,2020-04-15,8.00718
Albania,ALB,2020-04-16,7.290973
Albania,ALB,2020-04-17,6.592728
Albania,ALB,2020-04-18,6.1804485
Albania,ALB,2020-04-19,6.156989
Albania,ALB,2020-04-20,6.165197
Albania,ALB,2020-04-21,6.3540273
Albania,ALB,2020-04-22,6.512645
Albania,ALB,2020-04-23,6.832209
Albania,ALB,2020-04-24,7.225032
Albania,ALB,2020-04-25,7.5081434
Albania,ALB,2020-04-26,7.5972805
Albania,ALB,2020-04-27,8.001517
Albania,ALB,2020-04-28,8.375445
Albania,ALB,2020-04-29,8.6327305
Albania,ALB,2020-04-30,8.648917
Albania,ALB,2020-05-01,8.55402
Albania,ALB,2020-05-02,8.287477
Albania,ALB,2020-05-03,8.078631
Albania,ALB,2020-05-04,7.4400473
Albania,ALB,2020-05-05,6.744818
Albania,ALB,2020-05-06,6.144921
Albania,ALB,2020-05-07,5.6327786
Albania,ALB,2020-05-08,5.151614
Albania,ALB,2020-05-09,4.8180017
Albania,ALB,2020-05-10,4.4997826
Albania,ALB,2020-05-11,4.388191
Albania,ALB,2020-05-12,4.422661
Albania,ALB,2020-05-13,4.4356084
Albania,ALB,2020-05-14,4.3495994
Albania,ALB,2020-05-15,4.225071
Albania,ALB,2020-05-16,4.141501
Albania,ALB,2020-05-17,4.118086
Albania,ALB,2020-05-18,4.176597
Albania,ALB,2020-05-19,4.2038455
Albania,ALB,2020-05-20,4.276327
Albania,ALB,2020-05-21,4.405378
Albania,ALB,2020-05-22,4.732889
Albania,ALB,2020-05-23,4.938119
Albania,ALB,2020-05-24,5.0858326
Albania,ALB,2020-05-25,5.1125393
Albania,ALB,2020-05-26,5.0569744
Albania,ALB,2020-05-27,4.9961805
Albania,ALB,2020-05-28,5.2372828
Albania,ALB,2020-05-29,5.3437266
Albania,ALB,2020-05-30,5.7242837
Albania,ALB,2020-05-31,6.1522164
Albania,ALB,2020-06-01,6.7253895
Albania,ALB,2020-06-02,7.342391
Albania,ALB,2020-06-03,7.925962
Albania,ALB,2020-06-04,8.165734
Albania,ALB,2020-06-05,8.489876
Albania,ALB,2020-06-06,8.477392
Albania,ALB,2020-06-07,8.361404
Albania,ALB,2020-06-08,8.11216
Albania,ALB,2020-06-09,7.7866726
Albania,ALB,2020-06-10,7.575815
Albania,ALB,2020-06-11,7.5611615
Albania,ALB,2020-06-12,7.560011
Albania,ALB,2020-06-13,7.9226756
Albania,ALB,2020-06-14,8.330446
Albania,ALB,2020-06-15,8.8036995
Albania,ALB,2020-06-16,9.627532
Albania,ALB,2020-06-17,10.6796665
Albania,ALB,2020-06-18,11.920692
Albania,ALB,2020-06-19,13.086079
Albania,ALB,2020-06-20,14.1083355
Albania,ALB,2020-06-21,15.2974615
Albania,ALB,2020-06-22,16.583258
Albania,ALB,2020-06-23,17.734911
Albania,ALB,2020-06-24,18.31568
Albania,ALB,2020-06-25,18.32097
Albania,ALB,2020-06-26,18.337934
Albania,ALB,2020-06-27,18.30683
Albania,ALB,2020-06-28,18.236355
Albania,ALB,2020-06-29,17.9409
Albania,ALB,2020-06-30,17.472263
Albania,ALB,2020-07-01,17.51371
Albania,ALB,2020-07-02,17.888777
Albania,ALB,2020-07-03,18.158644
Albania,ALB,2020-07-04,18.391817
Albania,ALB,2020-07-05,18.56576
Albania,ALB,2020-07-06,18.767015
Albania,ALB,2020-07-07,18.978577
Albania,ALB,2020-07-08,18.84388
Albania,ALB,2020-07-09,18.642492
Albania,ALB,2020-07-10,18.579437
Albania,ALB,2020-07-11,18.478022
Albania,ALB,2020-07-12,18.292738
Albania,ALB,2020-07-13,18.186607
Albania,ALB,2020-07-14,18.111872
Albania,ALB,2020-07-15,18.373621
Albania,ALB,2020-07-16,18.718302
Albania,ALB,2020-07-17,19.06998
Albania,ALB,2020-07-18,19.46395
Albania,ALB,2020-07-19,19.802036
Albania,ALB,2020-07-20,20.50939
Albania,ALB,2020-07-21,21.16402
Albania,ALB,2020-07-22,21.251705
Albania,ALB,2020-07-23,21.31884
Albania,ALB,2020-07-24,21.115288
Albania,ALB,2020-07-25,21.138233
Albania,ALB,2020-07-26,21.297878
Albania,ALB,2020-07-27,20.70921
Albania,ALB,2020-07-28,20.33168
Albania,ALB,2020-07-29,20.423727
Albania,ALB,2020-07-30,20.420261
Albania,ALB,2020-07-31,20.850534
Albania,ALB,2020-08-01,20.800692
Albania,ALB,2020-08-02,20.616482
Albania,ALB,2020-08-03,21.036955
Albania,ALB,2020-08-04,21.243008
Albania,ALB,2020-08-05,21.189735
Albania,ALB,2020-08-06,21.198383
Albania,ALB,2020-08-07,21.030756
Albania,ALB,2020-08-08,21.254435
Albania,ALB,2020-08-09,21.698154
Albania,ALB,2020-08-10,21.884949
Albania,ALB,2020-08-11,22.121363
Albania,ALB,2020-08-12,22.504341
Albania,ALB,2020-08-13,22.801188
Albania,ALB,2020-08-14,23.013447
Albania,ALB,2020-08-15,23.05656
Albania,ALB,2020-08-16,22.947243
Albania,ALB,2020-08-17,22.922152
Albania,ALB,2020-08-18,22.613155
Albania,ALB,2020-08-19,22.100843
Albania,ALB,2020-08-20,21.574848
Albania,ALB,2020-08-21,21.010317
Albania,ALB,2020-08-22,20.38283
Albania,ALB,2020-08-23,19.710201
Albania,ALB,2020-08-24,18.811993
Albania,ALB,2020-08-25,18.298624
Albania,ALB,2020-08-26,18.088306
Albania,ALB,2020-08-27,17.937773
Albania,ALB,2020-08-28,17.909636
Albania,ALB,2020-08-29,17.992964
Albania,ALB,2020-08-30,18.029955
Albania,ALB,2020-08-31,18.103277
Albania,ALB,2020-09-01,17.97326
Albania,ALB,2020-09-02,17.606056
Albania,ALB,2020-09-03,17.109152
Albania,ALB,2020-09-04,16.426785
Albania,ALB,2020-09-05,15.604111
Albania,ALB,2020-09-06,14.897091
Albania,ALB,2020-09-07,14.432096
Albania,ALB,2020-09-08,14.190419
Albania,ALB,2020-09-09,14.0953865
Albania,ALB,2020-09-10,14.258606
Albania,ALB,2020-09-11,14.620142
Albania,ALB,2020-09-12,15.190985
Albania,ALB,2020-09-13,15.82755
Albania,ALB,2020-09-14,16.393856
Albania,ALB,2020-09-15,16.88368
Albania,ALB,2020-09-16,17.380302
Albania,ALB,2020-09-17,17.796926
Albania,ALB,2020-09-18,18.151577
Albania,ALB,2020-09-19,18.373598
Albania,ALB,2020-09-20,18.444113
Albania,ALB,2020-09-21,18.458181
Albania,ALB,2020-09-22,18.399282
Albania,ALB,2020-09-23,18.221146
Albania,ALB,2020-09-24,17.94023
Albania,ALB,2020-09-25,17.612535
Albania,ALB,2020-09-26,17.34067
Albania,ALB,2020-09-27,17.144438
Albania,ALB,2020-09-28,16.837688
Albania,ALB,2020-09-29,16.432251
Albania,ALB,2020-09-30,16.066847
Albania,ALB,2020-10-01,15.70037
Albania,ALB,2020-10-02,15.30944
Albania,ALB,2020-10-03,14.895941
Albania,ALB,2020-10-04,14.517648
Albania,ALB,2020-10-05,14.322332
Albania,ALB,2020-10-06,14.3195715
Albania,ALB,2020-10-07,14.348892
Albania,ALB,2020-10-08,14.523851
Albania,ALB,2020-10-09,14.884234
Albania,ALB,2020-10-10,15.29737
Albania,ALB,2020-10-11,15.697155
Albania,ALB,2020-10-12,16.042665
Albania,ALB,2020-10-13,16.310246
Albania,ALB,2020-10-14,16.482666
Albania,ALB,2020-10-15,16.49117
Albania,ALB,2020-10-16,16.324316
Albania,ALB,2020-10-17,16.178583
Albania,ALB,2020-10-18,16.123245
Albania,ALB,2020-10-19,16.104797
Albania,ALB,2020-10-20,16.18006
Albania,ALB,2020-10-21,16.525274
Albania,ALB,2020-10-22,17.131239
Albania,ALB,2020-10-23,17.934307
Albania,ALB,2020-10-24,18.726513
Albania,ALB,2020-10-25,19.417381
Albania,ALB,2020-10-26,20.135324
Albania,ALB,2020-10-27,20.843418
Albania,ALB,2020-10-28,21.353474
Albania,ALB,2020-10-29,21.657446
Albania,ALB,2020-10-30,21.805138
Albania,ALB,2020-10-31,21.879095
Albania,ALB,2020-11-01,21.90868
Albania,ALB,2020-11-02,21.728733
Albania,ALB,2020-11-03,21.399794
Albania,ALB,2020-11-04,21.046349
Albania,ALB,2020-11-05,20.767365
Albania,ALB,2020-11-06,20.507662
Albania,ALB,2020-11-07,20.283154
Albania,ALB,2020-11-08,20.174093
Albania,ALB,2020-11-09,20.359545
Albania,ALB,2020-11-10,20.800398
Albania,ALB,2020-11-11,21.472431
Albania,ALB,2020-11-12,22.352053
Albania,ALB,2020-11-13,23.323957
Albania,ALB,2020-11-14,24.231958
Albania,ALB,2020-11-15,25.008114
Albania,ALB,2020-11-16,25.62868
Albania,ALB,2020-11-17,26.062637
Albania,ALB,2020-11-18,26.321217
Albania,ALB,2020-11-19,26.30379
Albania,ALB,2020-11-20,26.35228
Albania,ALB,2020-11-21,26.845243
Albania,ALB,2020-11-22,27.87423
Albania,ALB,2020-11-23,29.121983
Albania,ALB,2020-11-24,30.361097
Albania,ALB,2020-11-25,31.928127
Albania,ALB,2020-11-26,33.722713
Albania,ALB,2020-11-27,35.462723
Albania,ALB,2020-11-28,36.89472
Albania,ALB,2020-11-29,37.410305
Albania,ALB,2020-11-30,37.52211
Albania,ALB,2020-12-01,38.121254
Albania,ALB,2020-12-02,38.064243
Albania,ALB,2020-12-03,37.75892
Albania,ALB,2020-12-04,37.36246
Albania,ALB,2020-12-05,36.843468
Albania,ALB,2020-12-06,36.93898
Albania,ALB,2020-12-07,37.527462
Albania,ALB,2020-12-08,37.319035
Albania,ALB,2020-12-09,37.27682
Albania,ALB,2020-12-10,37.01183
Albania,ALB,2020-12-11,36.56665
Albania,ALB,2020-12-12,35.986877
Albania,ALB,2020-12-13,35.10529
Albania,ALB,2020-12-14,33.898888
Albania,ALB,2020-12-15,32.9346
Albania,ALB,2020-12-16,32.083904
Albania,ALB,2020-12-17,31.538614
Albania,ALB,2020-12-18,31.065542
Albania,ALB,2020-12-19,30.804958
Albania,ALB,2020-12-20,30.619066
Albania,ALB,2020-12-21,30.204733
Albania,ALB,2020-12-22,29.665369
Albania,ALB,2020-12-23,29.058575
Albania,ALB,2020-12-24,28.160376
Albania,ALB,2020-12-25,27.330425
Albania,ALB,2020-12-26,26.279545
Albania,ALB,2020-12-27,25.190048
Albania,ALB,2020-12-28,24.26804
Albania,ALB,2020-12-29,23.537594
Albania,ALB,2020-12-30,22.717365
Albania,ALB,2020-12-31,22.294073
Albania,ALB,2021-01-01,22.03599
Albania,ALB,2021-01-02,22.230574
Albania,ALB,2021-01-03,22.323013
Albania,ALB,2021-01-04,22.431627
Albania,ALB,2021-01-05,22.346972
Albania,ALB,2021-01-06,22.108128
Albania,ALB,2021-01-07,21.593338
Albania,ALB,2021-01-08,20.773584
Albania,ALB,2021-01-09,19.383268
Albania,ALB,2021-01-10,18.27274
Albania,ALB,2021-01-11,17.421038
Albania,ALB,2021-01-12,16.8188
Albania,ALB,2021-01-13,16.741632
Albania,ALB,2021-01-14,16.791845
Albania,ALB,2021-01-15,17.041573
Albania,ALB,2021-01-16,17.740839
Albania,ALB,2021-01-17,18.381674
Albania,ALB,2021-01-18,18.67255
Albania,ALB,2021-01-19,19.02249
Albania,ALB,2021-01-20,19.135893
Albania,ALB,2021-01-21,19.28748
Albania,ALB,2021-01-22,19.407969
Albania,ALB,2021-01-23,19.322126
Albania,ALB,2021-01-24,19.135967
Albania,ALB,2021-01-25,19.28819
Albania,ALB,2021-01-26,19.433178
Albania,ALB,2021-01-27,19.770855
Albania,ALB,2021-01-28,20.15042
Albania,ALB,2021-01-29,20.59205
Albania,ALB,2021-01-30,21.163464
Albania,ALB,2021-01-31,21.939356
Albania,ALB,2021-02-01,22.445065
Albania,ALB,2021-02-02,22.85189
Albania,ALB,2021-02-03,23.266144
Albania,ALB,2021-02-04,23.629726
Albania,ALB,2021-02-05,23.93259
Albania,ALB,2021-02-06,24.156986
Albania,ALB,2021-02-07,24.540857
Albania,ALB,2021-02-08,25.333467
Albania,ALB,2021-02-09,26.16006
Albania,ALB,2021-02-10,26.858366
Albania,ALB,2021-02-11,27.68238
Albania,ALB,2021-02-12,28.631222
Albania,ALB,2021-02-13,29.713123
Albania,ALB,2021-02-14,30.10048
Albania,ALB,2021-02-15,30.141552
Albania,ALB,2021-02-16,30.599327
Albania,ALB,2021-02-17,30.973577
Albania,ALB,2021-02-18,30.962246
Albania,ALB,2021-02-19,30.805193
Albania,ALB,2021-02-20,30.524303
Albania,ALB,2021-02-21,30.617487
Albania,ALB,2021-02-22,30.495903
Albania,ALB,2021-02-23,29.669807
Albania,ALB,2021-02-24,29.056541
Albania,ALB,2021-02-25,28.833296
Albania,ALB,2021-02-26,28.621708
Albania,ALB,2021-02-27,28.337301
Albania,ALB,2021-02-28,28.016684
Albania,ALB,2021-03-01,27.91734
Albania,ALB,2021-03-02,28.048649
Albania,ALB,2021-03-03,27.998642
Albania,ALB,2021-03-04,27.785954
Albania,ALB,2021-03-05,27.560827
Albania,ALB,2021-03-06,27.423767
Albania,ALB,2021-03-07,27.327396
Albania,ALB,2021-03-08,27.10801
Albania,ALB,2021-03-09,26.863766
Albania,ALB,2021-03-10,26.627216
Albania,ALB,2021-03-11,26.259113
Albania,ALB,2021-03-12,25.739283
Albania,ALB,2021-03-13,25.015093
Albania,ALB,2021-03-14,24.274172
Albania,ALB,2021-03-15,23.573372
Albania,ALB,2021-03-16,22.848404
Albania,ALB,2021-03-17,22.070738
Albania,ALB,2021-03-18,21.343925
Albania,ALB,2021-03-19,20.709326
Albania,ALB,2021-03-20,20.275257
Albania,ALB,2021-03-21,19.699577
Albania,ALB,2021-03-22,19.217524
Albania,ALB,2021-03-23,18.928738
Albania,ALB,2021-03-24,18.649998
Albania,ALB,2021-03-25,18.359919
Albania,ALB,2021-03-26,18.144915
Albania,ALB,2021-03-27,17.845587
Albania,ALB,2021-03-28,17.746592
Albania,ALB,2021-03-29,17.586441
Albania,ALB,2021-03-30,17.11845
Albania,ALB,2021-03-31,16.624434
Albania,ALB,2021-04-01,16.22052
Albania,ALB,2021-04-02,15.824342
Albania,ALB,2021-04-03,15.40908
Albania,ALB,2021-04-04,14.873583
Albania,ALB,2021-04-05,14.316866
Albania,ALB,2021-04-06,13.886859
Albania,ALB,2021-04-07,13.585201
Albania,ALB,2021-04-08,13.158968
Albania,ALB,2021-04-09,12.584232
Albania,ALB,2021-04-10,12.04319
Albania,ALB,2021-04-11,11.583544
Albania,ALB,2021-04-12,11.2275
Albania,ALB,2021-04-13,10.819349
Albania,ALB,2021-04-14,10.271253
Albania,ALB,2021-04-15,9.961321
Albania,ALB,2021-04-16,9.77985
Albania,ALB,2021-04-17,9.566421
Albania,ALB,2021-04-18,9.290844
Albania,ALB,2021-04-19,8.832805
Albania,ALB,2021-04-20,8.4088955
Albania,ALB,2021-04-21,8.083857
Albania,ALB,2021-04-22,7.5875363
Albania,ALB,2021-04-23,7.03213
Albania,ALB,2021-04-24,6.508872
Albania,ALB,2021-04-25,6.02709
Albania,ALB,2021-04-26,5.7310286
Albania,ALB,2021-04-27,5.5215087
Albania,ALB,2021-04-28,5.314493
Albania,ALB,2021-04-29,5.1793575
Albania,ALB,2021-04-30,5.1166105
Albania,ALB,2021-05-01,5.1118197
Albania,ALB,2021-05-02,5.151246
Albania,ALB,2021-05-03,5.0952015
Albania,ALB,2021-05-04,5.007562
Albania,ALB,2021-05-05,4.87949
Albania,ALB,2021-05-06,4.6540556
Albania,ALB,2021-05-07,4.4055276
Albania,ALB,2021-05-08,4.08682
Albania,ALB,2021-05-09,3.712026
Albania,ALB,2021-05-10,3.4047935
Albania,ALB,2021-05-11,3.1141794
Albania,ALB,2021-05-12,2.8720992
Albania,ALB,2021-05-13,2.727234
Albania,ALB,2021-05-14,2.564831
Albania,ALB,2021-05-15,2.4479105
Albania,ALB,2021-05-16,2.3589077
Albania,ALB,2021-05-17,2.2165878
Albania,ALB,2021-05-18,2.0726798
Albania,ALB,2021-05-19,1.9188435
Albania,ALB,2021-05-20,1.7487668
Albania,ALB,2021-05-21,1.6059831
Albania,ALB,2021-05-22,1.460945
Albania,ALB,2021-05-23,1.3147323
Albania,ALB,2021-05-24,1.2171738
Albania,ALB,2021-05-25,1.1329521
Albania,ALB,2021-05-26,1.0566819
Albania,ALB,2021-05-27,0.9757219
Albania,ALB,2021-05-28,0.90486646
Albania,ALB,2021-05-29,0.85401624
Albania,ALB,2021-05-30,0.80872923
Albania,ALB,2021-05-31,0.76072717
Albania,ALB,2021-06-01,0.7004504
Albania,ALB,2021-06-02,0.6442225
Albania,ALB,2021-06-03,0.6103122
Albania,ALB,2021-06-04,0.5797081
Albania,ALB,2021-06-05,0.5394212
Albania,ALB,2021-06-06,0.5022712
Albania,ALB,2021-06-07,0.46828905
Albania,ALB,2021-06-08,0.4476183
Albania,ALB,2021-06-09,0.42810327
Albania,ALB,2021-06-10,0.39876494
Albania,ALB,2021-06-11,0.37357184
Albania,ALB,2021-06-12,0.36038622
Albania,ALB,2021-06-13,0.35075477
Albania,ALB,2021-06-14,0.3535874
Albania,ALB,2021-06-15,0.36783987
Albania,ALB,2021-06-16,0.38492733
Albania,ALB,2021-06-17,0.4027053
Albania,ALB,2021-06-18,0.40739685
Albania,ALB,2021-06-19,0.40389484
Albania,ALB,2021-06-20,0.396487
Albania,ALB,2021-06-21,0.37825033
Albania,ALB,2021-06-22,0.33916005
Albania,ALB,2021-06-23,0.2958481
Albania,ALB,2021-06-24,0.25416714
Albania,ALB,2021-06-25,0.21882276
Albania,ALB,2021-06-26,0.18655382
Albania,ALB,2021-06-27,0.16262808
Albania,ALB,2021-06-28,0.14110139
Albania,ALB,2021-06-29,0.1334564
Albania,ALB,2021-06-30,0.12615809
Albania,ALB,2021-07-01,0.117570564
Albania,ALB,2021-07-02,0.11572755
Albania,ALB,2021-07-03,0.11484128
Albania,ALB,2021-07-04,0.10888068
Albania,ALB,2021-07-05,0.109845586
Albania,ALB,2021-07-06,0.10825187
Albania,ALB,2021-07-07,0.10956519
Albania,ALB,2021-07-08,0.12073284
Albania,ALB,2021-07-09,0.13617884
Albania,ALB,2021-07-10,0.15758795
Albania,ALB,2021-07-11,0.18941747
Albania,ALB,2021-07-12,0.21220492
Albania,ALB,2021-07-13,0.24149248
Albania,ALB,2021-07-14,0.27140045
Albania,ALB,2021-07-15,0.30150622
Albania,ALB,2021-07-16,0.3159236
Albania,ALB,2021-07-17,0.33085155
Albania,ALB,2021-07-18,0.34200436
Albania,ALB,2021-07-19,0.37030324
Albania,ALB,2021-07-20,0.4080216
Albania,ALB,2021-07-21,0.4460708
Albania,ALB,2021-07-22,0.51040554
Albania,ALB,2021-07-23,0.61848736
Albania,ALB,2021-07-24,0.7579956
Albania,ALB,2021-07-25,0.8844408
Albania,ALB,2021-07-26,0.9926871
Albania,ALB,2021-07-27,1.0675751
Albania,ALB,2021-07-28,1.1366786
Albania,ALB,2021-07-29,1.1512818
Albania,ALB,2021-07-30,1.1159226
Albania,ALB,2021-07-31,1.0398651
Albania,ALB,2021-08-01,0.9835776
Albania,ALB,2021-08-02,0.93921614
Albania,ALB,2021-08-03,0.91907704
Albania,ALB,2021-08-04,0.9054774
Albania,ALB,2021-08-05,0.9293647
Albania,ALB,2021-08-06,1.0117689
Albania,ALB,2021-08-07,1.1402696
